State,EBRW,Math,Total
Minnesota,644,651,1295
Wisconsin,642,649,1291
Iowa,641,635,1276
Missouri,640,631,1271
Kansas,632,628,1260
North Dakota,635,621,1256
Nebraska,629,625,1254
Kentucky,631,616,1247
Mississippi,634,607,1241
Utah,624,614,1238
Wyoming,626,604,1230
Tennessee,623,604,1227
South Dakota,612,603,1215
Arkansas,614,594,1208
Colorado,606,595,1201
Louisiana,611,586,1197
Montana,605,591,1196
Alabama,593,572,1165
Ohio,578,570,1148
New Mexico,557,561,1118
Nevada,563,553,1116
Arizona,563,553,1116
Illinois,559,556,1115
Vermont,562,551,1113
Oregon,560,548,1108
Massachusetts,555,551,1106
Virginia,561,541,1102
Alaska,547,553,1100
West Virginia,558,528,1086
Hawaii,544,541,1085
North Carolina,546,535,1081
Washington,541,534,1075
Indiana,542,532,1074
Pennsylvania,540,531,1071
South Carolina,543,521,1064
Rhode Island,539,524,1063
Maryland,536,524,1060
New Jersey,530,526,1056
California,531,524,1055
New Hampshire,532,520,1052
New York,528,523,1051
Georgia,535,515,1050
Oklahoma,530,517,1047
Connecticut,530,512,1042
Texas,513,507,1020
Florida,520,497,1017
Maine,513,499,1012
Idaho,513,493,1006
Michigan,509,495,1004
Delaware,503,492,995
